,V1,V2,V3,V4,V5,V6,V7
1,3000,0.01,0.688973886,0.669270833,0.571180556,0.767361111,0.34525065
2,3000,0.1,0.688973886,0.669270833,0.571180556,0.767361111,0.34525065
3,3000,1,0.688973886,0.669270833,0.571180556,0.767361111,0.34525065
4,3000,10,0.688973886,0.669270833,0.571180556,0.767361111,0.34525065
5,3000,100,0.688973886,0.669270833,0.571180556,0.767361111,0.34525065
6,2900,0.01,0.684781298,0.661458333,0.630208333,0.692708333,0.323549217
7,2900,0.1,0.684781298,0.661458333,0.630208333,0.692708333,0.323549217
8,2900,1,0.684781298,0.661458333,0.630208333,0.692708333,0.323549217
9,2900,10,0.684781298,0.661458333,0.630208333,0.692708333,0.323549217
10,2900,100,0.684781298,0.661458333,0.630208333,0.692708333,0.323549217
11,2800,0.01,0.690080054,0.658854167,0.571180556,0.746527778,0.322708163
12,2800,0.1,0.690080054,0.658854167,0.571180556,0.746527778,0.322708163
13,2800,1,0.690080054,0.658854167,0.571180556,0.746527778,0.322708163
14,2800,10,0.690080054,0.658854167,0.571180556,0.746527778,0.322708163
15,2800,100,0.690080054,0.658854167,0.571180556,0.746527778,0.322708163
126,500,0.01,0.688931689,0.657118056,0.663194444,0.651041667,0.314259318
16,2700,0.01,0.68692431,0.65625,0.595486111,0.717013889,0.314833536
17,2700,0.1,0.686903212,0.65625,0.595486111,0.717013889,0.314833536
18,2700,1,0.686903212,0.65625,0.595486111,0.717013889,0.314833536
19,2700,10,0.686903212,0.65625,0.595486111,0.717013889,0.314833536
20,2700,100,0.686903212,0.65625,0.595486111,0.717013889,0.314833536
21,2600,0.01,0.682484568,0.654513889,0.604166667,0.704861111,0.310606467
22,2600,0.1,0.682110822,0.654513889,0.604166667,0.704861111,0.310606467
23,2600,1,0.682110822,0.654513889,0.604166667,0.704861111,0.310606467
24,2600,10,0.682110822,0.654513889,0.604166667,0.704861111,0.310606467
25,2600,100,0.682110822,0.654513889,0.604166667,0.704861111,0.310606467
26,2500,0.01,0.679160036,0.654513889,0.640625,0.668402778,0.30914707
27,2500,0.1,0.677698206,0.651909722,0.626736111,0.677083333,0.304205245
28,2500,1,0.677698206,0.651909722,0.626736111,0.677083333,0.304205245
29,2500,10,0.677698206,0.651909722,0.626736111,0.677083333,0.304205245
30,2500,100,0.677698206,0.651909722,0.626736111,0.677083333,0.304205245
121,600,0.01,0.681773245,0.651041667,0.725694444,0.576388889,0.305507737
116,700,0.01,0.677945361,0.644965278,0.696180556,0.59375,0.291463608
31,2400,0.01,0.67113655,0.643229167,0.487847222,0.798611111,0.301380546
32,2400,0.1,0.669334129,0.639756944,0.489583333,0.789930556,0.293043737
33,2400,1,0.669334129,0.639756944,0.489583333,0.789930556,0.293043737
34,2400,10,0.669334129,0.639756944,0.489583333,0.789930556,0.293043737
