"","V1","V2","V3"
"1",10,0.01,76.2057877813505
"2",10,0.03,77.3311897106109
"3",10,0.1,79.2604501607717
"4",10,0.3,79.2604501607717
"5",10,1,78.7781350482315
"6",10,3,79.0996784565916
"7",10,10,78.4565916398714
"8",10,30,78.1350482315112
"9",10,100,77.491961414791
"10",20,0.01,78.6173633440514
"11",20,0.03,79.4212218649518
"12",20,0.1,81.1897106109325
"13",20,0.3,80.8681672025724
"14",20,1,80.064308681672
"15",20,3,81.6720257234727
"16",20,10,80.064308681672
"17",20,30,81.3504823151125
"18",20,100,80.064308681672
"19",30,0.01,79.7427652733119
"20",30,0.03,81.6720257234727
"21",30,0.1,81.3504823151125
"22",30,0.3,81.9935691318328
"23",30,1,81.0289389067524
"24",30,3,81.5112540192926
"25",30,10,80.3858520900322
"26",30,30,80.8681672025724
"27",30,100,80.8681672025724
"28",40,0.01,81.5112540192926
"29",40,0.03,81.5112540192926
"30",40,0.1,81.5112540192926
"31",40,0.3,81.5112540192926
"32",40,1,80.064308681672
"33",40,3,80.2250803858521
"34",40,10,80.5466237942122
"35",40,30,82.3151125401929
"36",40,100,81.0289389067524
"37",50,0.01,82.475884244373
"38",50,0.03,82.7974276527331
"39",50,0.1,84.0836012861736
"40",50,0.3,81.8327974276527
"41",50,1,82.3151125401929
"42",50,3,82.475884244373
"43",50,10,81.9935691318328
"44",50,30,82.9581993569132
"45",50,100,82.475884244373
"46",60,0.01,83.7620578778135
"47",60,0.03,83.7620578778135
"48",60,0.1,84.5659163987138
"49",60,0.3,83.2797427652733
"50",60,1,83.6012861736334
"51",60,3,82.9581993569132
"52",60,10,81.6720257234727
"53",60,30,81.9935691318328
"54",60,100,83.2797427652733
"55",70,0.01,83.6012861736334
"56",70,0.03,85.5305466237942
"57",70,0.1,84.0836012861736
"58",70,0.3,83.7620578778135
"59",70,1,83.6012861736334
"60",70,3,83.2797427652733
"61",70,10,82.9581993569132
"62",70,30,82.9581993569132
"63",70,100,83.4405144694534
"64",80,0.01,83.6012861736334
"65",80,0.03,83.7620578778135
"66",80,0.1,83.9228295819936
"67",80,0.3,84.7266881028939
"68",80,1,83.2797427652733
"69",80,3,82.6366559485531
"70",80,10,81.5112540192926
"71",80,30,81.5112540192926
"72",80,100,81.3504823151125
"73",90,0.01,83.9228295819936
"74",90,0.03,85.2090032154341
"75",90,0.1,83.1189710610932
"76",90,0.3,83.2797427652733
"77",90,1,82.6366559485531
"78",90,3,81.9935691318328
"79",90,10,80.2250803858521
"80",90,30,81.9935691318328
"81",90,100,82.3151125401929
"82",100,0.01,84.887459807074
"83",100,0.03,85.048231511254
"84",100,0.1,85.048231511254
"85",100,0.3,82.475884244373
"86",100,1,81.1897106109325
"87",100,3,79.0996784565916
"88",100,10,81.6720257234727
"89",100,30,80.064308681672
"90",100,100,80.5466237942122
"91",110,0.01,85.048231511254
"92",110,0.03,85.8520900321543
"93",110,0.1,85.3697749196141
"94",110,0.3,84.5659163987138
"95",110,1,83.2797427652733
"96",110,3,82.9581993569132
"97",110,10,80.8681672025724
"98",110,30,81.8327974276527
"99",110,100,80.3858520900322
"100",120,0.01,85.6913183279743
"101",120,0.03,87.2990353697749
"102",120,0.1,85.6913183279743
"103",120,0.3,83.2797427652733
"104",120,1,83.9228295819936
"105",120,3,82.9581993569132
"106",120,10,82.6366559485531
"107",120,30,80.5466237942122
"108",120,100,80.7073954983923
"109",130,0.01,85.048231511254
"110",130,0.03,85.3697749196141
"111",130,0.1,84.5659163987138
"112",130,0.3,82.475884244373
"113",130,1,82.7974276527331
"114",130,3,81.8327974276527
"115",130,10,81.1897106109325
"116",130,30,80.2250803858521
"117",130,100,78.7781350482315
"118",140,0.01,86.0128617363344
"119",140,0.03,84.887459807074
"120",140,0.1,84.5659163987138
"121",140,0.3,83.4405144694534
"122",140,1,83.1189710610932
"123",140,3,81.8327974276527
"124",140,10,81.3504823151125
"125",140,30,80.5466237942122
"126",140,100,78.7781350482315
"127",150,0.01,86.6559485530547
"128",150,0.03,85.048231511254
"129",150,0.1,85.5305466237942
"130",150,0.3,83.4405144694534
"131",150,1,83.4405144694534
"132",150,3,81.6720257234727
"133",150,10,79.903536977492
"134",150,30,80.8681672025724
"135",150,100,79.2604501607717
"136",160,0.01,86.1736334405145
"137",160,0.03,86.9774919614148
"138",160,0.1,84.5659163987138
"139",160,0.3,84.5659163987138
"140",160,1,82.3151125401929
"141",160,3,80.3858520900322
"142",160,10,79.7427652733119
"143",160,30,80.3858520900322
"144",160,100,79.903536977492
"145",170,0.01,86.8167202572347
"146",170,0.03,85.3697749196141
"147",170,0.1,85.2090032154341
"148",170,0.3,84.0836012861736
"149",170,1,84.0836012861736
"150",170,3,80.3858520900322
"151",170,10,80.8681672025724
"152",170,30,79.5819935691318
"153",170,100,80.2250803858521
"154",180,0.01,86.3344051446945
"155",180,0.03,85.048231511254
"156",180,0.1,86.4951768488746
"157",180,0.3,84.4051446945338
"158",180,1,80.8681672025724
"159",180,3,81.5112540192926
"160",180,10,81.3504823151125
"161",180,30,80.5466237942122
"162",180,100,80.8681672025724
"163",190,0.01,85.8520900321543
"164",190,0.03,85.3697749196141
"165",190,0.1,85.8520900321543
"166",190,0.3,83.2797427652733
"167",190,1,83.9228295819936
"168",190,3,82.1543408360129
"169",190,10,80.8681672025724
"170",190,30,81.9935691318328
"171",190,100,82.475884244373
"172",200,0.01,86.3344051446945
"173",200,0.03,86.3344051446945
"174",200,0.1,85.048231511254
"175",200,0.3,81.6720257234727
"176",200,1,81.9935691318328
"177",200,3,79.0996784565916
"178",200,10,80.8681672025724
"179",200,30,81.8327974276527
"180",200,100,79.903536977492
"181",210,0.01,85.8520900321543
"182",210,0.03,85.5305466237942
"183",210,0.1,83.9228295819936
"184",210,0.3,83.2797427652733
"185",210,1,81.3504823151125
"186",210,3,81.5112540192926
"187",210,10,80.7073954983923
"188",210,30,83.6012861736334
"189",210,100,84.2443729903537
"190",220,0.01,86.6559485530547
"191",220,0.03,87.2990353697749
"192",220,0.1,85.2090032154341
"193",220,0.3,83.1189710610932
"194",220,1,80.8681672025724
"195",220,3,82.9581993569132
"196",220,10,83.4405144694534
"197",220,30,83.1189710610932
"198",220,100,81.9935691318328
"199",230,0.01,86.9774919614148
"200",230,0.03,85.3697749196141
"201",230,0.1,85.048231511254
"202",230,0.3,81.3504823151125
"203",230,1,82.6366559485531
"204",230,3,82.3151125401929
"205",230,10,81.8327974276527
"206",230,30,82.3151125401929
"207",230,100,82.3151125401929
"208",240,0.01,87.6205787781351
"209",240,0.03,85.6913183279743
"210",240,0.1,86.1736334405145
"211",240,0.3,83.2797427652733
"212",240,1,83.4405144694534
"213",240,3,81.9935691318328
"214",240,10,84.4051446945338
"215",240,30,82.7974276527331
"216",240,100,82.3151125401929
"217",250,0.01,86.9774919614148
"218",250,0.03,87.1382636655948
"219",250,0.1,83.6012861736334
"220",250,0.3,83.9228295819936
"221",250,1,83.4405144694534
"222",250,3,82.475884244373
"223",250,10,81.5112540192926
"224",250,30,81.5112540192926
"225",250,100,81.8327974276527
"226",260,0.01,86.8167202572347
"227",260,0.03,86.8167202572347
"228",260,0.1,84.887459807074
"229",260,0.3,83.9228295819936
"230",260,1,82.9581993569132
"231",260,3,82.1543408360129
"232",260,10,82.3151125401929
"233",260,30,82.6366559485531
"234",260,100,82.9581993569132
"235",270,0.01,86.6559485530547
"236",270,0.03,86.9774919614148
"237",270,0.1,85.5305466237942
"238",270,0.3,82.6366559485531
"239",270,1,80.7073954983923
"240",270,3,82.475884244373
"241",270,10,82.475884244373
"242",270,30,81.3504823151125
"243",270,100,81.6720257234727
"244",280,0.01,87.2990353697749
"245",280,0.03,86.8167202572347
"246",280,0.1,83.7620578778135
"247",280,0.3,83.4405144694534
"248",280,1,81.5112540192926
"249",280,3,80.2250803858521
"250",280,10,82.3151125401929
"251",280,30,82.3151125401929
"252",280,100,81.9935691318328
"253",290,0.01,87.459807073955
"254",290,0.03,87.2990353697749
"255",290,0.1,84.7266881028939
"256",290,0.3,82.7974276527331
"257",290,1,82.9581993569132
"258",290,3,82.6366559485531
"259",290,10,82.3151125401929
"260",290,30,83.1189710610932
"261",290,100,82.7974276527331
"262",300,0.01,87.7813504823151
"263",300,0.03,86.0128617363344
"264",300,0.1,83.2797427652733
"265",300,0.3,83.9228295819936
"266",300,1,83.1189710610932
"267",300,3,83.2797427652733
"268",300,10,82.6366559485531
"269",300,30,81.6720257234727
"270",300,100,82.7974276527331
"271",310,0.01,88.1028938906752
"272",310,0.03,85.8520900321543
"273",310,0.1,84.4051446945338
"274",310,0.3,83.6012861736334
"275",310,1,80.8681672025724
"276",310,3,82.7974276527331
"277",310,10,82.9581993569132
"278",310,30,83.2797427652733
"279",310,100,84.7266881028939
"280",320,0.01,87.2990353697749
"281",320,0.03,87.9421221864952
"282",320,0.1,86.6559485530547
"283",320,0.3,84.5659163987138
"284",320,1,84.0836012861736
"285",320,3,83.4405144694534
"286",320,10,83.7620578778135
"287",320,30,83.6012861736334
"288",320,100,85.8520900321543
"289",330,0.01,87.1382636655948
"290",330,0.03,87.459807073955
"291",330,0.1,83.9228295819936
"292",330,0.3,84.887459807074
"293",330,1,82.9581993569132
"294",330,3,84.2443729903537
"295",330,10,82.6366559485531
"296",330,30,84.2443729903537
"297",330,100,84.887459807074
"298",340,0.01,86.0128617363344
"299",340,0.03,86.6559485530547
"300",340,0.1,84.2443729903537
"301",340,0.3,84.5659163987138
"302",340,1,83.4405144694534
"303",340,3,84.887459807074
"304",340,10,81.8327974276527
"305",340,30,83.7620578778135
"306",340,100,84.2443729903537
"307",350,0.01,86.3344051446945
"308",350,0.03,86.6559485530547
"309",350,0.1,85.2090032154341
"310",350,0.3,85.6913183279743
"311",350,1,82.9581993569132
"312",350,3,84.2443729903537
"313",350,10,84.0836012861736
"314",350,30,84.5659163987138
"315",350,100,85.3697749196141
"316",360,0.01,86.3344051446945
"317",360,0.03,86.1736334405145
"318",360,0.1,84.7266881028939
"319",360,0.3,84.4051446945338
"320",360,1,82.9581993569132
"321",360,3,84.7266881028939
"322",360,10,85.5305466237942
"323",360,30,84.2443729903537
"324",360,100,85.2090032154341
"325",370,0.01,87.1382636655948
"326",370,0.03,85.6913183279743
"327",370,0.1,84.2443729903537
"328",370,0.3,85.048231511254
"329",370,1,84.0836012861736
"330",370,3,84.5659163987138
"331",370,10,84.7266881028939
"332",370,30,84.4051446945338
"333",370,100,83.9228295819936
"334",380,0.01,88.4244372990354
"335",380,0.03,85.2090032154341
"336",380,0.1,86.0128617363344
"337",380,0.3,84.0836012861736
"338",380,1,85.5305466237942
"339",380,3,84.887459807074
"340",380,10,84.5659163987138
"341",380,30,83.4405144694534
"342",380,100,85.3697749196141
"343",390,0.01,86.8167202572347
"344",390,0.03,86.1736334405145
"345",390,0.1,85.2090032154341
"346",390,0.3,85.048231511254
"347",390,1,84.5659163987138
"348",390,3,83.6012861736334
"349",390,10,84.7266881028939
"350",390,30,85.2090032154341
"351",390,100,85.2090032154341
"352",400,0.01,87.459807073955
"353",400,0.03,86.6559485530547
"354",400,0.1,85.3697749196141
"355",400,0.3,84.5659163987138
"356",400,1,84.5659163987138
"357",400,3,83.9228295819936
"358",400,10,85.3697749196141
"359",400,30,83.4405144694534
"360",400,100,85.8520900321543
"361",410,0.01,86.4951768488746
"362",410,0.03,85.8520900321543
"363",410,0.1,85.048231511254
"364",410,0.3,83.7620578778135
"365",410,1,84.887459807074
"366",410,3,84.7266881028939
"367",410,10,84.7266881028939
"368",410,30,83.6012861736334
"369",410,100,84.2443729903537
"370",420,0.01,88.1028938906752
"371",420,0.03,87.1382636655948
"372",420,0.1,86.1736334405145
"373",420,0.3,85.8520900321543
"374",420,1,86.0128617363344
"375",420,3,85.6913183279743
"376",420,10,86.4951768488746
"377",420,30,86.3344051446945
"378",420,100,86.0128617363344
"379",430,0.01,86.9774919614148
"380",430,0.03,87.1382636655948
"381",430,0.1,85.6913183279743
"382",430,0.3,86.0128617363344
"383",430,1,84.7266881028939
"384",430,3,84.7266881028939
"385",430,10,84.887459807074
"386",430,30,86.4951768488746
"387",430,100,87.7813504823151
"388",440,0.01,87.7813504823151
"389",440,0.03,87.9421221864952
"390",440,0.1,85.8520900321543
"391",440,0.3,86.9774919614148
"392",440,1,86.6559485530547
"393",440,3,86.8167202572347
"394",440,10,86.6559485530547
"395",440,30,87.6205787781351
"396",440,100,86.0128617363344
"397",450,0.01,87.7813504823151
"398",450,0.03,88.1028938906752
"399",450,0.1,86.6559485530547
"400",450,0.3,88.4244372990354
"401",450,1,87.2990353697749
"402",450,3,87.2990353697749
"403",450,10,86.8167202572347
"404",450,30,86.3344051446945
"405",450,100,87.2990353697749
"406",460,0.01,88.1028938906752
"407",460,0.03,87.9421221864952
"408",460,0.1,86.9774919614148
"409",460,0.3,87.2990353697749
"410",460,1,86.0128617363344
"411",460,3,88.2636655948553
"412",460,10,85.5305466237942
"413",460,30,86.8167202572347
"414",460,100,87.459807073955
"415",470,0.01,88.4244372990354
"416",470,0.03,88.2636655948553
"417",470,0.1,85.6913183279743
"418",470,0.3,85.6913183279743
"419",470,1,86.3344051446945
"420",470,3,87.459807073955
"421",470,10,86.6559485530547
"422",470,30,85.6913183279743
"423",470,100,88.1028938906752
"424",480,0.01,88.4244372990354
"425",480,0.03,87.7813504823151
"426",480,0.1,85.3697749196141
"427",480,0.3,86.4951768488746
"428",480,1,84.5659163987138
"429",480,3,86.3344051446945
"430",480,10,86.9774919614148
