"","V1","V2","V3"
"1",10,0.01,76.0450160771704
"2",10,0.03,75.4019292604502
"3",10,0.1,74.7588424437299
"4",10,0.3,75.4019292604502
"5",10,1,75.08038585209
"6",10,3,75.2411575562701
"7",10,10,75.8842443729904
"8",10,30,76.2057877813505
"9",10,100,75.7234726688103
"10",20,0.01,82.475884244373
"11",20,0.03,82.7974276527331
"12",20,0.1,82.7974276527331
"13",20,0.3,83.1189710610932
"14",20,1,83.1189710610932
"15",20,3,83.6012861736334
"16",20,10,84.2443729903537
"17",20,30,83.2797427652733
"18",20,100,83.7620578778135
"19",30,0.01,83.1189710610932
"20",30,0.03,83.1189710610932
"21",30,0.1,82.3151125401929
"22",30,0.3,82.7974276527331
"23",30,1,82.7974276527331
"24",30,3,82.9581993569132
"25",30,10,81.8327974276527
"26",30,30,83.1189710610932
"27",30,100,82.6366559485531
"28",40,0.01,82.7974276527331
"29",40,0.03,82.6366559485531
"30",40,0.1,82.7974276527331
"31",40,0.3,81.8327974276527
"32",40,1,82.6366559485531
"33",40,3,82.6366559485531
"34",40,10,82.475884244373
"35",40,30,81.9935691318328
"36",40,100,83.1189710610932
"37",50,0.01,83.1189710610932
"38",50,0.03,82.6366559485531
"39",50,0.1,83.2797427652733
"40",50,0.3,83.2797427652733
"41",50,1,82.7974276527331
"42",50,3,83.7620578778135
"43",50,10,82.1543408360129
"44",50,30,83.6012861736334
"45",50,100,83.7620578778135
"46",60,0.01,83.2797427652733
"47",60,0.03,83.7620578778135
"48",60,0.1,82.7974276527331
"49",60,0.3,82.3151125401929
"50",60,1,83.4405144694534
"51",60,3,82.6366559485531
"52",60,10,82.475884244373
"53",60,30,81.5112540192926
"54",60,100,83.1189710610932
"55",70,0.01,85.5305466237942
"56",70,0.03,83.2797427652733
"57",70,0.1,83.7620578778135
"58",70,0.3,81.8327974276527
"59",70,1,81.5112540192926
"60",70,3,82.475884244373
"61",70,10,81.5112540192926
"62",70,30,80.8681672025724
"63",70,100,81.3504823151125
"64",80,0.01,84.7266881028939
"65",80,0.03,84.5659163987138
"66",80,0.1,82.9581993569132
"67",80,0.3,82.7974276527331
"68",80,1,81.1897106109325
"69",80,3,81.8327974276527
"70",80,10,81.6720257234727
"71",80,30,81.5112540192926
"72",80,100,81.5112540192926
"73",90,0.01,84.887459807074
"74",90,0.03,84.5659163987138
"75",90,0.1,83.6012861736334
"76",90,0.3,82.7974276527331
"77",90,1,82.6366559485531
"78",90,3,83.7620578778135
"79",90,10,82.3151125401929
"80",90,30,81.8327974276527
"81",90,100,84.2443729903537
"82",100,0.01,84.5659163987138
"83",100,0.03,84.4051446945338
"84",100,0.1,84.4051446945338
"85",100,0.3,82.7974276527331
"86",100,1,84.2443729903537
"87",100,3,82.7974276527331
"88",100,10,82.6366559485531
"89",100,30,83.2797427652733
"90",100,100,82.1543408360129
"91",110,0.01,85.2090032154341
"92",110,0.03,85.5305466237942
"93",110,0.1,83.7620578778135
"94",110,0.3,85.8520900321543
"95",110,1,82.6366559485531
"96",110,3,82.475884244373
"97",110,10,81.3504823151125
"98",110,30,82.7974276527331
"99",110,100,83.4405144694534
"100",120,0.01,85.8520900321543
"101",120,0.03,85.3697749196141
"102",120,0.1,85.6913183279743
"103",120,0.3,85.2090032154341
"104",120,1,82.475884244373
"105",120,3,82.9581993569132
"106",120,10,83.4405144694534
"107",120,30,83.7620578778135
"108",120,100,81.1897106109325
"109",130,0.01,84.887459807074
"110",130,0.03,86.3344051446945
"111",130,0.1,82.6366559485531
"112",130,0.3,84.4051446945338
"113",130,1,82.7974276527331
"114",130,3,83.1189710610932
"115",130,10,82.475884244373
"116",130,30,82.475884244373
"117",130,100,81.3504823151125
"118",140,0.01,84.7266881028939
"119",140,0.03,86.0128617363344
"120",140,0.1,84.0836012861736
"121",140,0.3,82.9581993569132
