"","V1","V2","V3"
"1",2000,0.01,85.048231511254
"2",2000,0.03,84.2443729903537
"3",2000,0.1,83.7620578778135
"4",2000,0.3,84.7266881028939
"5",2000,1,84.887459807074
"6",2000,3,83.6012861736334
"7",2000,10,82.3151125401929
"8",2000,30,83.7620578778135
"9",2000,100,85.2090032154341
"10",1990,0.01,85.2090032154341
"11",1990,0.03,83.4405144694534
"12",1990,0.1,84.0836012861736
"13",1990,0.3,83.2797427652733
"14",1990,1,83.4405144694534
"15",1990,3,84.887459807074
"16",1990,10,83.2797427652733
"17",1990,30,83.9228295819936
"18",1990,100,83.9228295819936
"19",1980,0.01,82.9581993569132
"20",1980,0.03,85.048231511254
"21",1980,0.1,83.4405144694534
"22",1980,0.3,83.6012861736334
"23",1980,1,83.1189710610932
"24",1980,3,83.4405144694534
"25",1980,10,82.7974276527331
"26",1980,30,84.4051446945338
"27",1980,100,83.7620578778135
"28",1970,0.01,84.7266881028939
"29",1970,0.03,84.2443729903537
"30",1970,0.1,82.7974276527331
"31",1970,0.3,84.2443729903537
"32",1970,1,85.3697749196141
"33",1970,3,83.1189710610932
"34",1970,10,83.4405144694534
"35",1970,30,82.475884244373
"36",1970,100,83.2797427652733
"37",1960,0.01,83.7620578778135
"38",1960,0.03,83.2797427652733
"39",1960,0.1,82.6366559485531
"40",1960,0.3,84.0836012861736
"41",1960,1,83.7620578778135
"42",1960,3,83.1189710610932
"43",1960,10,82.9581993569132
"44",1960,30,83.4405144694534
"45",1960,100,81.6720257234727
"46",1950,0.01,83.6012861736334
"47",1950,0.03,82.6366559485531
"48",1950,0.1,83.9228295819936
"49",1950,0.3,82.475884244373
"50",1950,1,83.7620578778135
"51",1950,3,84.5659163987138
"52",1950,10,85.3697749196141
"53",1950,30,84.2443729903537
"54",1950,100,84.0836012861736
"55",1940,0.01,84.4051446945338
"56",1940,0.03,85.048231511254
"57",1940,0.1,82.6366559485531
"58",1940,0.3,82.9581993569132
"59",1940,1,83.1189710610932
"60",1940,3,82.9581993569132
"61",1940,10,84.0836012861736
"62",1940,30,84.0836012861736
"63",1940,100,84.4051446945338
"64",1930,0.01,83.9228295819936
"65",1930,0.03,84.2443729903537
"66",1930,0.1,83.6012861736334
"67",1930,0.3,83.6012861736334
"68",1930,1,85.2090032154341
"69",1930,3,84.0836012861736
"70",1930,10,84.7266881028939
"71",1930,30,83.4405144694534
"72",1930,100,84.2443729903537
"73",1920,0.01,84.0836012861736
"74",1920,0.03,82.7974276527331
"75",1920,0.1,83.6012861736334
"76",1920,0.3,84.4051446945338
"77",1920,1,83.7620578778135
"78",1920,3,84.4051446945338
"79",1920,10,83.2797427652733
"80",1920,30,83.7620578778135
"81",1920,100,84.2443729903537
"82",1910,0.01,84.0836012861736
"83",1910,0.03,82.6366559485531
"84",1910,0.1,85.048231511254
"85",1910,0.3,84.887459807074
"86",1910,1,83.9228295819936
"87",1910,3,82.1543408360129
"88",1910,10,84.7266881028939
"89",1910,30,82.9581993569132
"90",1910,100,83.9228295819936
"91",1900,0.01,83.7620578778135
"92",1900,0.03,83.9228295819936
