"","V1","V2","V3"
"1",10,0.01,75.2411575562701
"2",10,0.03,75.4019292604502
"3",10,0.1,74.2765273311897
"4",10,0.3,75.08038585209
"5",10,1,75.5627009646302
"6",10,3,75.2411575562701
"7",10,10,76.0450160771704
"8",10,30,75.5627009646302
"9",10,100,75.2411575562701
"10",20,0.01,82.1543408360129
"11",20,0.03,82.7974276527331
"12",20,0.1,82.1543408360129
"13",20,0.3,83.1189710610932
"14",20,1,83.9228295819936
"15",20,3,84.4051446945338
"16",20,10,82.9581993569132
"17",20,30,83.4405144694534
"18",20,100,84.0836012861736
"19",30,0.01,82.7974276527331
"20",30,0.03,82.6366559485531
"21",30,0.1,81.5112540192926
"22",30,0.3,82.1543408360129
"23",30,1,81.8327974276527
"24",30,3,82.9581993569132
"25",30,10,82.1543408360129
"26",30,30,81.0289389067524
"27",30,100,82.1543408360129
"28",40,0.01,83.6012861736334
"29",40,0.03,83.1189710610932
"30",40,0.1,84.5659163987138
"31",40,0.3,82.475884244373
"32",40,1,84.0836012861736
"33",40,3,84.2443729903537
"34",40,10,84.2443729903537
"35",40,30,83.9228295819936
"36",40,100,83.7620578778135
"37",50,0.01,82.9581993569132
"38",50,0.03,83.1189710610932
"39",50,0.1,83.1189710610932
"40",50,0.3,82.3151125401929
"41",50,1,82.7974276527331
"42",50,3,82.7974276527331
"43",50,10,82.9581993569132
"44",50,30,84.0836012861736
"45",50,100,81.9935691318328
"46",60,0.01,83.4405144694534
"47",60,0.03,84.5659163987138
"48",60,0.1,83.4405144694534
"49",60,0.3,84.4051446945338
"50",60,1,83.7620578778135
"51",60,3,83.6012861736334
"52",60,10,83.7620578778135
"53",60,30,81.8327974276527
"54",60,100,82.3151125401929
"55",70,0.01,84.0836012861736
"56",70,0.03,83.2797427652733
"57",70,0.1,83.4405144694534
"58",70,0.3,83.1189710610932
"59",70,1,81.3504823151125
"60",70,3,82.7974276527331
"61",70,10,81.1897106109325
"62",70,30,80.5466237942122
"63",70,100,82.7974276527331
"64",80,0.01,84.5659163987138
"65",80,0.03,84.887459807074
"66",80,0.1,84.0836012861736
"67",80,0.3,83.7620578778135
"68",80,1,82.9581993569132
"69",80,3,84.0836012861736
"70",80,10,83.7620578778135
"71",80,30,84.4051446945338
"72",80,100,83.1189710610932
"73",90,0.01,85.5305466237942
"74",90,0.03,84.887459807074
"75",90,0.1,86.4951768488746
"76",90,0.3,85.3697749196141
"77",90,1,85.048231511254
"78",90,3,84.0836012861736
"79",90,10,84.7266881028939
"80",90,30,83.1189710610932
"81",90,100,82.7974276527331
"82",100,0.01,85.3697749196141
"83",100,0.03,86.3344051446945
"84",100,0.1,86.6559485530547
"85",100,0.3,85.6913183279743
"86",100,1,84.2443729903537
"87",100,3,84.7266881028939
"88",100,10,84.0836012861736
"89",100,30,84.5659163987138
"90",100,100,82.6366559485531
"91",110,0.01,85.2090032154341
"92",110,0.03,86.4951768488746
"93",110,0.1,86.3344051446945
"94",110,0.3,84.0836012861736
"95",110,1,85.3697749196141
"96",110,3,83.7620578778135
"97",110,10,83.4405144694534
"98",110,30,83.4405144694534
"99",110,100,82.9581993569132
"100",120,0.01,85.2090032154341
"101",120,0.03,84.887459807074
"102",120,0.1,85.6913183279743
"103",120,0.3,85.3697749196141
"104",120,1,83.2797427652733
"105",120,3,82.3151125401929
"106",120,10,82.7974276527331
"107",120,30,82.475884244373
"108",120,100,80.8681672025724
"109",130,0.01,84.7266881028939
"110",130,0.03,85.048231511254
"111",130,0.1,85.6913183279743
"112",130,0.3,84.7266881028939
"113",130,1,82.7974276527331
"114",130,3,82.1543408360129
"115",130,10,83.2797427652733
"116",130,30,80.8681672025724
"117",130,100,81.8327974276527
"118",140,0.01,84.7266881028939
"119",140,0.03,84.7266881028939
"120",140,0.1,84.4051446945338
"121",140,0.3,83.4405144694534
"122",140,1,83.1189710610932
"123",140,3,82.475884244373
"124",140,10,81.0289389067524
"125",140,30,79.5819935691318
"126",140,100,79.0996784565916
"127",150,0.01,84.887459807074
"128",150,0.03,84.5659163987138
"129",150,0.1,85.2090032154341
"130",150,0.3,83.6012861736334
"131",150,1,81.6720257234727
"132",150,3,84.2443729903537
"133",150,10,81.9935691318328
"134",150,30,80.5466237942122
"135",150,100,81.0289389067524
"136",160,0.01,86.1736334405145
"137",160,0.03,85.3697749196141
"138",160,0.1,85.048231511254
"139",160,0.3,84.4051446945338
"140",160,1,82.1543408360129
"141",160,3,82.9581993569132
"142",160,10,80.8681672025724
"143",160,30,81.8327974276527
"144",160,100,80.8681672025724
"145",170,0.01,85.6913183279743
"146",170,0.03,84.5659163987138
"147",170,0.1,84.887459807074
"148",170,0.3,83.4405144694534
"149",170,1,83.9228295819936
"150",170,3,81.5112540192926
"151",170,10,80.5466237942122
"152",170,30,81.5112540192926
"153",170,100,78.7781350482315
"154",180,0.01,86.1736334405145
"155",180,0.03,84.887459807074
"156",180,0.1,84.2443729903537
"157",180,0.3,83.6012861736334
"158",180,1,82.1543408360129
"159",180,3,81.3504823151125
"160",180,10,80.8681672025724
"161",180,30,79.2604501607717
"162",180,100,79.2604501607717
"163",190,0.01,87.459807073955
"164",190,0.03,85.6913183279743
"165",190,0.1,84.887459807074
"166",190,0.3,84.0836012861736
"167",190,1,81.8327974276527
"168",190,3,81.3504823151125
"169",190,10,77.9742765273312
"170",190,30,79.7427652733119
"171",190,100,81.1897106109325
