,V1,V2,V3,,
1,2000,0.01,84.40514469,,
2,2000,0.03,84.5659164,,
3,2000,0.1,86.33440514,,
4,2000,0.3,84.5659164,,
5,2000,1,85.04823151,,
6,2000,3,84.7266881,,
7,2000,10,84.7266881,,
8,2000,30,84.08360129,,
9,2000,100,83.92282958,,
10,1990,0.01,84.5659164,,
11,1990,0.03,84.88745981,,
12,1990,0.1,85.04823151,,
13,1990,0.3,84.88745981,,
14,1990,1,84.40514469,,
15,1990,3,84.24437299,,
16,1990,10,84.7266881,,
17,1990,30,84.24437299,,
18,1990,100,85.20900322,,
19,1980,0.01,84.24437299,,
20,1980,0.03,85.36977492,,
21,1980,0.1,84.88745981,,
22,1980,0.3,84.88745981,,
23,1980,1,84.08360129,,
24,1980,3,82.95819936,,
25,1980,10,84.7266881,,
26,1980,30,85.20900322,,
27,1980,100,84.88745981,,
28,1970,0.01,84.24437299,,
29,1970,0.03,83.92282958,,
30,1970,0.1,85.04823151,,
31,1970,0.3,84.5659164,,
32,1970,1,84.88745981,,
33,1970,3,85.20900322,,
34,1970,10,84.5659164,,
35,1970,30,84.08360129,,
36,1970,100,85.53054662,,
37,1960,0.01,83.92282958,,
38,1960,0.03,85.20900322,,
39,1960,0.1,84.24437299,,
40,1960,0.3,84.88745981,,
41,1960,1,83.60128617,,
42,1960,3,84.88745981,,
43,1960,10,84.5659164,,
44,1960,30,83.60128617,,
45,1960,100,82.95819936,,
46,1950,0.01,83.92282958,,
47,1950,0.03,85.36977492,,
48,1950,0.1,85.04823151,,
49,1950,0.3,84.5659164,,
50,1950,1,84.5659164,,
51,1950,3,83.76205788,,
52,1950,10,83.11897106,,
53,1950,30,84.08360129,,
54,1950,100,84.88745981,,
55,1940,0.01,84.08360129,,
56,1940,0.03,84.7266881,,
57,1940,0.1,83.60128617,,
58,1940,0.3,84.88745981,,
59,1940,1,82.95819936,,
60,1940,3,84.24437299,,
61,1940,10,84.24437299,,
62,1940,30,84.5659164,,
63,1940,100,84.40514469,,
64,1930,0.01,84.40514469,,
65,1930,0.03,85.04823151,,
66,1930,0.1,84.7266881,,
67,1930,0.3,83.44051447,,
68,1930,1,83.44051447,,
69,1930,3,84.08360129,,
70,1930,10,85.04823151,,
71,1930,30,85.04823151,,
72,1930,100,84.88745981,,
73,1920,0.01,86.01286174,,
74,1920,0.03,84.88745981,,
75,1920,0.1,84.7266881,,
76,1920,0.3,84.5659164,,
77,1920,1,84.5659164,,
78,1920,3,85.36977492,,
79,1920,10,84.88745981,,
80,1920,30,84.88745981,,
81,1920,100,84.88745981,,
82,1910,0.01,85.36977492,,
83,1910,0.03,83.76205788,,
84,1910,0.1,84.24437299,,
85,1910,0.3,84.88745981,,
86,1910,1,84.88745981,,
87,1910,3,83.44051447,,
88,1910,10,85.36977492,,
89,1910,30,85.04823151,,
90,1910,100,84.08360129,,
91,1900,0.01,84.5659164,,
92,1900,0.03,83.76205788,,
93,1900,0.1,85.69131833,,
94,1900,0.3,83.44051447,,
95,1900,1,85.20900322,,
96,1900,3,85.04823151,,
97,1900,10,84.5659164,,
98,1900,30,84.08360129,,
99,1900,100,83.76205788,,
100,1890,0.01,84.5659164,,
101,1890,0.03,83.76205788,,
102,1890,0.1,83.92282958,,
103,1890,0.3,83.92282958,,
104,1890,1,84.08360129,,
105,1890,3,84.40514469,,
106,1890,10,84.7266881,,
107,1890,30,83.92282958,,
108,1890,100,84.24437299,,
