"","V1","V2","V3"
"1",2000,0.01,88.2636655948553
"2",2000,0.03,88.1028938906752
"3",2000,0.1,88.1028938906752
"4",2000,0.3,88.5852090032154
"5",2000,1,88.1028938906752
"6",2000,3,88.1028938906752
"7",2000,10,87.9421221864952
"8",2000,30,89.2282958199357
"9",2000,100,88.1028938906752
"10",1990,0.01,86.9774919614148
"11",1990,0.03,87.9421221864952
"12",1990,0.1,88.9067524115756
"13",1990,0.3,88.2636655948553
"14",1990,1,88.2636655948553
"15",1990,3,88.2636655948553
"16",1990,10,88.1028938906752
"17",1990,30,88.9067524115756
"18",1990,100,88.4244372990354
"19",1980,0.01,88.7459807073955
"20",1980,0.03,88.5852090032154
"21",1980,0.1,88.4244372990354
"22",1980,0.3,88.2636655948553
"23",1980,1,88.7459807073955
"24",1980,3,87.459807073955
"25",1980,10,88.7459807073955
"26",1980,30,88.5852090032154
"27",1980,100,88.2636655948553
"28",1970,0.01,89.0675241157556
"29",1970,0.03,87.1382636655948
"30",1970,0.1,89.2282958199357
"31",1970,0.3,87.7813504823151
"32",1970,1,88.2636655948553
"33",1970,3,88.7459807073955
"34",1970,10,88.2636655948553
"35",1970,30,88.2636655948553
"36",1970,100,88.7459807073955
"37",1960,0.01,88.7459807073955
"38",1960,0.03,88.1028938906752
"39",1960,0.1,89.0675241157556
"40",1960,0.3,89.2282958199357
"41",1960,1,89.7106109324759
"42",1960,3,88.1028938906752
"43",1960,10,88.9067524115756
"44",1960,30,87.7813504823151
"45",1960,100,87.7813504823151
"46",1950,0.01,88.5852090032154
"47",1950,0.03,87.9421221864952
"48",1950,0.1,87.9421221864952
"49",1950,0.3,88.5852090032154
"50",1950,1,87.9421221864952
"51",1950,3,87.6205787781351
"52",1950,10,89.7106109324759
"53",1950,30,88.1028938906752
"54",1950,100,88.4244372990354
"55",1940,0.01,88.9067524115756
"56",1940,0.03,88.7459807073955
"57",1940,0.1,88.4244372990354
"58",1940,0.3,88.5852090032154
"59",1940,1,88.4244372990354
"60",1940,3,89.3890675241158
"61",1940,10,88.2636655948553
"62",1940,30,88.4244372990354
"63",1940,100,89.0675241157556
"64",1930,0.01,87.7813504823151
"65",1930,0.03,87.459807073955
"66",1930,0.1,88.7459807073955
"67",1930,0.3,89.0675241157556
"68",1930,1,88.2636655948553
"69",1930,3,89.871382636656
"70",1930,10,88.9067524115756
"71",1930,30,88.1028938906752
"72",1930,100,88.2636655948553
"73",1920,0.01,88.5852090032154
"74",1920,0.03,88.7459807073955
"75",1920,0.1,88.7459807073955
"76",1920,0.3,88.7459807073955
"77",1920,1,88.4244372990354
"78",1920,3,88.5852090032154
"79",1920,10,88.2636655948553
"80",1920,30,88.1028938906752
"81",1920,100,88.4244372990354
"82",1910,0.01,88.7459807073955
"83",1910,0.03,88.2636655948553
"84",1910,0.1,87.7813504823151
"85",1910,0.3,88.1028938906752
"86",1910,1,88.4244372990354
"87",1910,3,88.7459807073955
"88",1910,10,89.0675241157556
"89",1910,30,88.4244372990354
"90",1910,100,88.2636655948553
"91",1900,0.01,88.4244372990354
"92",1900,0.03,87.2990353697749
"93",1900,0.1,89.0675241157556
"94",1900,0.3,87.7813504823151
"95",1900,1,87.6205787781351
"96",1900,3,88.1028938906752
"97",1900,10,88.1028938906752
"98",1900,30,87.6205787781351
"99",1900,100,89.0675241157556
"100",1890,0.01,87.2990353697749
"101",1890,0.03,88.9067524115756
"102",1890,0.1,87.6205787781351
"103",1890,0.3,87.7813504823151
"104",1890,1,87.9421221864952
"105",1890,3,88.4244372990354
"106",1890,10,88.2636655948553
"107",1890,30,88.7459807073955
"108",1890,100,89.2282958199357
"109",1880,0.01,88.5852090032154
"110",1880,0.03,87.6205787781351
"111",1880,0.1,88.9067524115756
"112",1880,0.3,88.7459807073955
"113",1880,1,88.5852090032154
"114",1880,3,87.9421221864952
"115",1880,10,88.1028938906752
"116",1880,30,88.5852090032154
"117",1880,100,87.9421221864952
"118",1870,0.01,88.4244372990354
"119",1870,0.03,87.9421221864952
"120",1870,0.1,88.4244372990354
"121",1870,0.3,88.5852090032154
"122",1870,1,88.2636655948553
"123",1870,3,88.5852090032154
"124",1870,10,88.2636655948553
"125",1870,30,87.9421221864952
"126",1870,100,87.6205787781351
"127",1860,0.01,87.7813504823151
"128",1860,0.03,88.4244372990354
"129",1860,0.1,89.2282958199357
"130",1860,0.3,88.7459807073955
"131",1860,1,88.2636655948553
"132",1860,3,88.1028938906752
"133",1860,10,88.2636655948553
"134",1860,30,88.7459807073955
"135",1860,100,88.4244372990354
"136",1850,0.01,88.2636655948553
"137",1850,0.03,89.0675241157556
"138",1850,0.1,89.3890675241158
"139",1850,0.3,88.9067524115756
"140",1850,1,88.1028938906752
